nid,"parent_nid","name","serial","type","latitude","longitude","status"
18,"0","Provinsi Nusa Tenggara Barat","52","1","-8.6529334","117.3616476","1"
19,"0","Provinsi Nusa Tenggara Timur","53","1","-8.6573819","121.0793705","1"
31,"0","Provinsi Maluku","81","1","-3.2384616","130.1452734","1"
32,"0","Provinsi Maluku Utara","82","1","1.5709993","127.8087693","1"
33,"0","Provinsi Papua","91","1","-1.4116","137.26868","1"
34,"0","Provinsi Papua Barat","92","1","-2.15281","133.30811","1"
35,"0","Provinsi Papua Tengah","95","1","-3.967","137.666","1"
36,"0","Provinsi Papua Pegunungan","96","1","-4.46845","138.923374","1"
37,"0","Provinsi Papua Selatan","97","1","-6.652595","140.065637","1"
38,"0","Provinsi Papua Barat Daya","98","1","-0.84592","131.3031","1"
